FILE;TIPO;IMAGES;FONTS;SIZE;CREATOR;PRODUCER;TAGGED;FORM;PAGES;ENCRYPTED;OPTIMIZED;PAGESIZE;VERSION;ROTATION;PAGELINESFIRST;PAGELINESSECOND;PAGELINESLAST;FWORDS1;TWORDS1
F431;txt;2;4;153659;none;none;no;none;0;no;no;none;none;0;0;0;0;0;0
F432;ocr;1;0;47497;DocuScan - NewInformatics ;none;no;none;1;no;yes;592 x 842 pts;1.4;0;1;0;0;0;0
F433;ocr;1;0;63676;PScript5.dll Version 5.2.2 ;Acrobat Distiller 8.0.0 (Windows) ;no;none;1;no;yes;595 x 842 pts (A4);1.4;0;1;0;0;0;0
F434;ocr;2;0;63072;PScript5.dll Version 5.2.2 ;Acrobat Distiller 8.0.0 (Windows) ;no;none;2;no;yes;595 x 842 pts (A4);1.4;0;1;1;1;0;0
F435;txt;2;18;154683;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;no;none;4;no;no;595 x 842 pts (A4);1.4;0;32;35;38;1;119
F436;txt;0;13;76996;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;no;none;3;no;yes;595 x 842 pts (A4);1.4;0;32;62;31;1;121
F437;txt;1;17;109317;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;no;none;4;no;yes;595 x 842 pts (A4);1.4;0;38;47;32;1;115
F438;txt;8;20;1244846;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;no;none;10;no;no;595 x 842 pts (A4);1.4;0;31;53;1;1;113
F439;ocr;1;0;303373;KM_224e ;KONICA MINOLTA bizhub 224e ;no;none;1;no;yes;595 x 841 pts;1.4;0;1;0;0;0;0
F440;ocr;2;0;32205;PScript5.dll Version 5.2.2 ;Acrobat Distiller 9.0.0 (Windows) ;no;none;2;no;yes;595 x 842 pts (A4);1.5;0;1;1;1;0;0
F441;txt;1;2;24273;none;itext-paulo (lowagie.com) - build 130 ;no;none;2;no;yes;595 x 842 pts (A4);1.4;0;29;3;3;21;292
F442;ocr;32;0;3439210;none;none;no;none;32;no;yes;578.16 x 817.92 pts;1.3;0;1;1;1;0;0
F443;ocr;1;0;53379;none;none;no;none;1;no;yes;596.16 x 842.04 pts (A4);1.3;0;1;0;0;0;0
